id_projeto,fonte_dado,pais,estado_regiao,empresa_consorcio,status_maturidade,fase,tecnologia_eletrolise,aplicacao_final,produto_final,capacidade_mw,producao_t_ano,producao_kg_dia,investimento,moeda_investimento,data_anuncio,previsao_operacao,fonte_renovavel,materia_prima,tipo_parceria,url_fonte,id_fontes,id_estados,id_empresas,id_status,id_tecnologias,id_aplicacoes
H2V-00033,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,MoU,,H2V,,488000.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,21,1,2
H2V-00034,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0, ,,H2V,,0.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,22,1,2
H2V-00035,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0, ,,H2V,,0.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,22,1,2
H2V-00036,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,Piloto,,H2V,,100000.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,29,1,2
H2V-00037,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,P&D,,H2V - UHE e PV),,10.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,23,1,3
H2V-00038,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,Mou,,H2V - Onibus,,0.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,30,1,4
H2V-00039,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,2023,,Reforma a vapor BioCH4 e NH3V,,240.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,31,1,5
H2V-00040,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,2022,,Fertilizante (NH3V),,60000.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,32,1,6
H2V-00041,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,P&D,,Purificação de H2,,300.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,23,1,7
H2V-00042,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,MoU,,H2V,,250000.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,21,1,2
H2V-00043,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,MoU,,H2V,,600000.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,21,1,2
H2V-00044,EPE - H2_PROJETOS_BIO - Projetos,Brasil,,,0,MoU,,H2V,,2000000.0,0.0,,,,,,,,,https://gisepeprd2.epe.gov.br/arcgis/rest/services/SEE/H2_PROJETOS_BIO/MapServer/1,2,1,1,21,1,2
H2V-00045,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00046,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00047,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00048,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00049,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
H2V-00050,ANP - Dados Abertos,Brasil,,,,,,,,,,,,,,,,,,https://www.gov.br/anp/pt-br/acesso-a-informacao/institucional/agenda-dirigentes/agendadirigentesate2020.xlsx,3,1,1,33,1,18
