id_empresas,empresa_consorcio
507,Ilha dos Pombos
508,João Franco
509,Iacanga
510,Joasal
511,Zanin
512,Marmelos
513,Vista Alegre II
514,Vista Alegre I (Antiga Energética Vista Alegre)
515,Ubirajara Machado Moraes
516,José Togni
517,Pedro Affonso Junqueira (Antiga Antas I)
518,Walter Rossi (Antiga Antas II)
519,Ibitinga
520,Santa Cruz AB (Antiga Ometto)
521,Pedacinho do Céu
522,Passa Tempo
523,Biolins
524,Canabrava
525,Rio do Peixe (Casa de Força I e II)
526,Limoeiro (Armando Salles de Oliveira)
527,CTR Juiz de Fora
528,Euclides da Cunha
529,Lins 07
530,Lins 08
531,Lins 01
532,Lins 06
533,Lins 02
534,Lins 03
535,Lins 04
536,Lins 05
537,Caconde
538,Gargaú
539,Lucélia
540,Equipav
541,Equipav II
542,Serrania
543,Predilecta
544,LDC Bioenergia Rio Brilhante (Antiga Louis Dreyfus Rio Brilhante)
545,Piau
546,Branco Peres
547,São José da Estiva
548,Santa Isabel
549,Santa Luzia I
550,Dracena 1
551,Dracena 2
552,Barra do Braúna
553,Dracena 4
554,Panorama 06
555,Panorama 03
556,Biogás Bonfim
557,Panorama 02
558,Panorama 05
559,Panorama 07
560,Panorama 08
561,Panorama 04
562,Panorama 01
563,Usina Bonfim
564,Diana
565,Dr. Tito 2
566,Guatapará
567,Usina Monte Alegre
568,São Martinho
569,Rio Vermelho 2
570,Santa Cleonice
571,Bioenergia Mococa
572,Rio Vermelho 3
573,Cajuru
574,Camargos
575,Univalem Bioenergia
576,Univalem
577,São Martinho Bioenergia
578,São Martinho Energia
579,Miguel Pereira
580,Paulicéia
581,Ituerê
582,Promissão (Mário Lopes Leão)
583,Itutinga
584,Ilhéus
585,Lavras
586,Biopav II
587,Colombo Ariranha 2
588,Colombo Ariranha
589,Nardini
590,Da Pedra
591,Usina da Pedra
592,Fartura
593,Santa Cecília
594,Citrovita Catanduva
595,Pinheirinho
596,São Francisco
597,Nova Avanhandava (Rui Barbosa)
598,Santa Elisa - Unidade I
599,Ipê (Antiga Ceni)
600,Potirendaba (Antiga Cerradinho Potirendaba)
601,BVE (Antiga Ceni)
602,Catanduva (Antiga Cerradinho)
603,Pitangueiras
604,Da Mata
605,Da Mata 2
606,Ruette
607,Glória
608,Antônio Prado
609,Pirapanema
610,Limeira
611,Coronel Domiciano
612,Bazan
613,Ibitiúva Bioenergética (Antiga Destilaria Andrade)
614,Bortolo Carolo
615,Fibria MSII
616,Fibria MS (Antiga VCP MS)
617,Planalto Bioenergia
618,Bela Vista
619,Viralcool
620,Virálcool 2
621,Ervália
622,Rosal
623,Viralcool Castilho
624,Miradouro
625,Anil
626,Santana
627,Santa Bárbara
628,Monte Alto
629,MB
630,Jupiá (Eng° Souza Dias)
631,Santa Luzia
632,Gasa
633,Cevasa
634,Pioneiros II
635,Guarani Cruz Alta 2
636,Guarani Cruz Alta
637,Assis Chateaubriand(Antiga Salto Mimoso)
638,Furnas
639,Três Irmãos
640,Pioneiros
641,São José Colina
642,Pereira Barreto I
643,Pereira Barreto II
644,Pereira Barreto III
645,Pereira Barreto IV
646,Vale do Rosário
647,Pereira Barreto V
648,Eldorado Brasil
649,Noroeste Paulista
650,Noble Energia
651,Anjos
652,Brecha
653,Interlagos
654,Guarani Tanabi
655,Guarani Tanabi 2
656,Alta Mogiana
657,Mandu
658,Central Energética Alta Mogiana
659,Cachoeira dos Prazeres
660,Mogiana Bio-Energia
661,Brisas Suaves
662,Muniz Freire
663,Brito
664,Energia Maia Ltda
665,Guaíra  Energética
666,Vale do Paraná
667,Vertente
668,Santa Izabel
669,Onça Pintada
670,Ilha Solteira
671,Meridiano
672,Noble Energia II
673,Colombo Palestina
674,Marimbondo
675,Matipó
676,Marechal Mascarenhas de Moraes (Antiga Peixoto)
677,Colorado
678,Cachoeira Alta
679,Nova Ponte Queimada II
680,Bração
681,Casa de Força
682,Sinceridade
683,Buritis
684,Buriti
685,Roça Grande
686,Risoleta Neves (Antiga Candonga)
687,Moema
688,Pedranópolis 3
689,Pedranópolis 1
690,Pedranópolis 2
691,Samburá
692,Estreito (Luiz Carlos Barreto de Carvalho)
693,Divinópolis
694,Valinho
695,Porto Colômbia
696,João Camilo Penna (Antiga Cachoeira do Emboque)
697,Ingá Mirim
698,Guariroba
699,Doutor Augusto Gonçalves de Souza
700,Gafanhoto
701,Ingá
702,Bambuí
703,Total
704,Suíça
705,Frutal
706,LDC Bioenergia Lagoa da Prata (Antiga Louis Dreyfus Lagoa da Prata)
707,Colombo Santa Albertina
708,Jaguara
709,Simonésia
710,Igarapava
711,Chalé
712,Delta
713,Cerradão 2
714,Cerradão 3
715,Ouroeste
716,Cerradão
717,Santo Ângelo
718,Eco Vida Cajuru
719,Peti
720,Asja BH
721,Água Vermelha IV
722,Boa Hora 3
723,Boa Hora 2
724,Água Vermelha V
725,Boa Hora 1
726,Água Vermelha VI
727,Central Mineirão
728,Água Vermelha (Antiga José Ermírio de Moraes)
729,Florestal
730,Asja Sabará
731,Aracruz
732,Neblina
733,Carneirinho
734,Campo Florido
735,Coruripe Energética - Filial Campo Florido
736,Sumidouro
737,Araxá 2
738,Araxá 1
739,João Neiva
740,Usina Coruripe Açúcar e Álcool
741,Guilman Amorim
742,Coruripe Iturama
743,Usipar Industria e Comercio
744,Sá Carvalho
745,João de Deus
746,Cachoeira dos Macacos
747,Mascarenhas
748,Cachoeira do Oito
749,Aimorés
750,Usiminas 2
751,Dona Rita
752,Bela Miragem
753,Uberaba 2
754,Vale do Tijuco
755,Vale do Tijuco II
756,Lasa
757,Vale do Pontal 2
758,Cabrera
759,Santa Juliana
760,Pacifico Mascarenhas
761,Pacífico Mascarenhas
762,Agropéu
763,Poções
764,Salto Grande
765,Salto do Rio Verdinho
766,Nova Ponte
767,Tapuirama
768,Engenheiro José Luiz Muller de Godoy Pereira (Antiga Foz do Rio Claro)
769,Porto Estrela
770,Vale do São Simão
771,Cachoeira da Onça
772,Baguari
773,São Simão
774,Vetorial Corumbá
775,Córrego Ger
776,Ituiutaba
777,Salto Morais
778,Miranda
779,Uberlândia
780,Retiro Baixo
781,Algar Agro
782,LD Celulose
783,Guimarania 1
784,Guimarania 2
785,Martins
786,Iaco Agrícola
787,Dona Enedina
788,Amador Aguiar I (Antiga Capim Branco I)
789,Santa Vitória
790,Triângulo
791,Energética Tupaciguara (Antiga Central Energética Tupaciguara)
792,Bioenergética Aroeira
793,Barra dos Coqueiros
794,Tronqueiras
795,Pissarrão
796,Selecta
797,Espora
798,Amador Aguiar II (Antiga Capim Branco II)
799,Unidade de Bioenergia Costa Rica
800,Caçu
801,Cachoeira Dourada
802,Lages-Cemig
803,Dourados
804,Porto das Águas
805,Alcon
806,Emborcação
807,Bio Alvorada
808,Quirinópolis
809,Itumbiara
810,Caramuru Itumbiara
811,Serranópolis
812,WD
813,Três Marias
814,Goiasa
815,Serra do Facão
816,Vazante 1
817,Suzano Mucuri (Antiga Bahia Sul)
818,Vazante 2
819,Vazante 3
820,Corumbá I
821,Vale do Verdão
822,CEM (Antiga Camen)
823,Aliança
824,Unidade de Bioenergia Alto Taquari
825,Unidade de Bioenergia Morro Vermelho
826,Jataí
827,Tropical Bioenergia II
828,Aquarius
829,Sonora
830,Ponte de Pedra
831,Unidade de Bioenergia Água Emendada
832,Pirapora 3
833,Pirapora 4
834,Pirapora 5
835,Pirapora 2
836,Pirapora 6
837,Pirapora 7
838,Pirapora 9
839,Pirapora 10
840,Rochedo
841,Lar do Sol 1
842,Diamantino
843,Batalha (Antiga Paulista)
844,Tropical Bioenergia
845,NG Bioenergia I
846,Fênix
847,SM-01
848,Lago Azul
849,SM-06
850,Paracatu 4
851,Paracatu 2
852,Paracatu 3
853,Paracatu 1
854,DVPA
855,Itiquira (Casas de Forças I e II)
856,Enervale
857,Bioenergética Vale do Paracatu - BEVAP
858,Corumbá III
859,Irapé
860,Santa Marta
861,Veracel
862,Corumbá IV
863,Francisco Sá 1
864,Francisco Sá 2
865,Francisco Sá 3
866,Queimado
867,Mestre
868,Embaúba
869,Janaúba 8
870,Janaúba 7
871,Itapebi
872,Janaúba 11
873,Janaúba 9
874,Janaúba 10
875,Janaúba 6
876,Janaúba 5
877,Janaúba 14
878,Janaúba 4
879,Janaúba 13
880,Janaúba 12
881,Janaúba 3
882,Janaúba 2
883,Janaúba 1
884,Rio Claro de Goiás
885,Novo Milênio
886,FCR III Itapuranga
887,Jaíba 9
888,Jaíba 3
889,Jaíba 4
890,Jaíba SE1
891,Codora
892,Jauru
893,Esplanada (Antiga Jalles Machado)
894,Goianésia
895,São Judas Tadeu
896,Cooper-Rubi
897,Ita 01
898,Ita 02
899,Barralcool
900,Glicério Rocha
901,Caramujo
902,Manso
903,Dona Assunta
904,Desidério
905,Juba II
906,Itamarati
907,Juba I
908,Pelourinho
909,Borgo
910,Coqueirinho 2
911,Serra do Espinhaço
912,Papagaio
913,Espigão
914,Tamanduá Mirim 2
915,Caetité
916,Caititu
917,Inhambu 2
918,Teiú 2
919,Arapapá
920,Coqueirinho
921,Angical 2
922,Corrupião 2
923,Acauã
924,Ararinha Azul
925,Teiú 3
926,MAX-01 (Nova Lacerda)
927,Inhambu
928,Tamanduá Mirim
929,Angical
930,Teiu
931,Caititu 2
932,Caititu 3
933,Corrupião
934,Carcará
935,Corrupião 3
936,Caetité 3
937,Guirapá
938,Pindaí
939,Guanambi
940,Alvorada
941,Caetité 2
942,Candiba
943,Licínio de Almeida
944,Ametista
945,Rio Verde
946,Caetité 1
947,Serra do Salto
948,Caetité D
949,Verde Vale III
950,Seraíma
951,Caetité A
952,Maron
