FID,FID_H2_REN,nome_usina,proprietario,RIO,potencia_instalada_kw,ano_inicio_operacao,codigo_ceg_aneel,potencial_h2_t_ano,fonte_energia,FID_LM_Est,NM_REGIAO,CD_GCUF,NM_UF,NM_UF_SIGL,AR_MUN_201,longitude,latitude,fonte_dado,origem
122,163,Pinheiros II,CERP - Energética Rio Pinheiros Ltda.,Rio Pinheiros Altos,155.0,1081382400000.0,CGH.PH.SC.028776-8.01,45,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.21114101399999,-28.31733149199994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
123,89,Rio das Furnas,CERP - Energética Rio Pinheiros Ltda.,Rio das Furnas,290.0,1249430400000.0,CGH.PH.SC.028778-4.01,84,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.19921696299998,-28.31178520599996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
124,1689,Passo de Ajuricaba,Departamento Municipal de Energia de Ijuí Geração,Rio Ijuí,6200.0,-322012800000.0,UHE.PH.RS.001997-6.01,1797,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.81013862799995,-28.28279742999994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
125,222,Rio Palmeiras,Hidroelétrica Palmeiras S.A.,Arroio Palmeiras,740.0,-788918400000.0,CGH.PH.RS.002430-9.01,214,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.56136248699991,-28.24898989500001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
126,83,Teodoro Schlickmann,Ewel Indústria de Esmaltados Werner Eireli.,Rio Braço do Norte,1299.99,1032480000000.0,CGH.PH.SC.030591-0.01,377,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.16361111099994,-28.23777777799992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
127,165,Mambuca,Pampa Geradora de Energia Elétrica Ltda.,Arroio Barbosa,1000.0,1474848000000.0,CGH.PH.RS.037128-9.01,290,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.62887769299995,-28.21390412800001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
128,33,Rio Alegre,Hidropan Geração de Energia Elétrica S.A.,Lajeado do Alegre,760.0,946684800000.0,CGH.PH.RS.002280-2.01,220,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.44065117699996,-28.20204633499997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
129,1607,São José,Ijuí Energia S.A.,Rio Ijuí,51000.0,1301356800000.0,UHE.PH.RS.029459-4.01,14783,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-54.81463674599995,-28.17736604199992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
130,248,Dona Mirian,Consultoria Agropecuária Magrin Ltda.,Lajeado dos Ivos,632.0,1002758400000.0,CGH.PH.RS.028941-8.01,183,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-51.50000468599993,-28.15558733799998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
131,174,Pirapó,CPFL Sul Centrais Elétricas Ltda.,Rio Ijuí,776.0,-568080000000.0,CGH.PH.RS.028089-5.01,225,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-55.06582011200003,-28.14207672399996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
132,1609,Passo São João,Eletrosul Centrais Elétricas S.A.,Rio Ijuí,77000.0,1332547200000.0,UHE.PH.RS.029456-0.01,22319,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-55.05239627299991,-28.14172626299992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
133,22,Posto,COPREL Cooperativa de Geração de Energia e Desenvolvimento,Rio Forquilha ou Inhanduva,780.0,833587200000.0,CGH.PH.RS.028915-9.01,226,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-51.62731836700003,-28.12909599300001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
134,181,Wiggers,Valmiro Wiggers & Cia. Ltda.,Rio Bravo,600.0,1138665600000.0,CGH.PH.SC.029384-9.01,174,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.12904000599998,-28.11413853999992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
135,261,Rio Chapéu,Central Geradora Hidrelétrica JE Ltda. - EPP,Rio Chapéu,960.0,1177027200000.0,CGH.PH.SC.029425-0.01,278,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.198845831,-28.09956482799996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
136,249,Volta Grande,Cooperzem Cooperativa de Geração de Energia e Desenvolvimento,Rio Capivari,3130.0,1480550400000.0,CGH.PH.SC.030494-8.02,907,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-48.94375499999992,-28.09045148899999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
137,279,Santa Maria,Central Geradora Hidroelétrica Santa Maria Ltda.,Rio Capivari,513.0,1527811200000.0,CGH.PH.SC.044298-4.01,149,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-48.95191666699994,-28.04659166699993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
138,238,Rio do Poncho II,Cooperzem - Cooperativa de Geração de Energia e Desenvolvimento,Rio Capivari,883.0,911088000000.0,CGH.PH.SC.029592-2.01,256,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-48.93309610299995,-28.02590419499994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
139,91,Caraguatá,Cooperativa de Geração de Energia e Desenvolvimento - COOPERLUZ,Rio Comandai,953.1,1096588800000.0,CGH.PH.RS.028740-7.01,276,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-54.83536609799994,-28.02309997899991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
140,15,Rio do Poncho I,Cooperzem - Cooperativa de Geração de Energia e Desenvolvimento,Rio Chicão,1000.0,780624000000.0,CGH.PH.SC.030368-2.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-48.87854763099996,-28.0043273909999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
141,260,Varginha Jelu,Hidrelétrica Jelu Ltda.,Rio Braço do Norte,2000.0,1220918400000.0,CGH.PH.SC.029158-7.02,580,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.101830349,-27.98284326299999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
142,81,Nilo Bonfante,Cooperativa de Geração de Energia e Desenvolvimento Social Ltda.,Rio Buricá,680.0,944784000000.0,CGH.PH.RS.029022-0.01,197,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.97034263799993,-27.96131742399999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
143,23,Cascata do Barreiro,Cooperativa de Geração de Energia e Desenvolvimento - Creluz-G,Lajeado Grande,280.0,1133913600000.0,CGH.PH.RS.029551-5.01,81,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.13513295199989,-27.88538540299997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
144,37,Abaúna,Cooperativa de Geração de Energia e Desenvolvimento-CRERAL,Rio Abaúna,720.0,971568000000.0,CGH.PH.RS.000015-9.01,209,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-52.06999342499998,-27.82373965100001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
145,1293,Lages,Lages Bioenergética Ltda., ,28000.0,1072137600000.0,UTE.FL.SC.028745-8.01,8116,BIOMASSA,21,SUL,42,Santa Catarina,SC,95737.954,-50.32600017999995,-27.815999914,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
146,253,Caveiras,Celesc Geração S.A.,Rio das Caveiras,3800.0,-946771200000.0,CGH.PH.SC.000728-5.02,1101,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-50.48027777299994,-27.81555555499991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
147,92,Willy Faller,Mafrás Energia e Reflorestamento Ltda.,Lajeado dos Portões,1000.0,1483228800000.0,CGH.PH.SC.030845-5.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-51.00099999999996,-27.79035833299999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
148,285,Bela União (Trincheira),Cooperativa de Geração de Energia e Desenvolvimento,Rio Santa Rosa,2250.0,1428624000000.0,CGH.PH.RS.030879-0.01,652,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-54.37361111099996,-27.78138888899993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
149,1659,Barra Grande,Energética Barra Grande S.A.,Rio Pelotas,690000.0,1130803200000.0,UHE.PH.RS.027556-5.01,0,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-51.19189953699995,-27.78026185499994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
150,273,Santo Antônio,Cooperativa de Geração de Energia e Desenvolvimento,Rio Santa Rosa,4500.0,1128038400000.0,CGH.PH.RS.029050-5.01,1304,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-54.40777777799994,-27.73055555599993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
151,1145,Solar Boa Vista,100% para CRELUZ - COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO (REG), ,729.6,1580515200000.0,UFV.RS.RS.046252-7.01,211,UFV,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.30733330600001,-27.68769438799999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
152,1457,Energir,Energir Geração de Energia Elétrica Ltda., ,7000.0,1536105600000.0,UTE.FL.RS.035434-1.01,2029,BIOMASSA,26,SUL,43,Rio Grande do Sul,RS,281737.888,-52.28750001099993,-27.67388888899992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
153,162,Antunes,Antunes Energia Ltda.,Arroio dos Antunes,1000.0,1355097600000.0,CGH.PH.SC.030880-3.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-51.19311657099993,-27.65634654099992,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
154,1600,Garibaldi,Rio Canoas Energia S.A.,Rio Canoas,191900.0,1379980800000.0,UHE.PH.SC.030415-8.01,55623,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-50.98471108999993,-27.62563540899995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
155,1720,Campos Novos,Campos Novos Energia S/A.,Rio Canoas,880000.0,1170460800000.0,UHE.PH.SC.027401-1.01,0,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-51.32711723699998,-27.60411890399993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
156,194,Carlos Bevilácqua,CRELUZ - Cooperativa de Geração de Energia e Desenvolvimento,Rio Fortaleza,801.0,1233273600000.0,CGH.PH.RS.028688-5.01,232,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.39194766399997,-27.60273523899993,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
157,150,Pito,Pinhal Geradora de Energia S.A .,Lajeado do Curtume ou Passo Grande,4000.0,1447804800000.0,CGH.PH.SC.030794-7.02,1159,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-51.35575952699993,-27.58281294700001,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
158,292,Pingo De Ouro,Pequena Central Hidrelétrica Rio Imaruí Ltda.,Rio Maruim,2400.0,1575244800000.0,CGH.PH.SC.046694-8.01,696,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-48.73166666699993,-27.58166666699994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
159,1158,Megawatt Solar,100% para ELETROBRAS CGT ELETROSUL (REG), ,930.0,1403568000000.0,UFV.RS.SC.031635-0.01,270,UFV,21,SUL,42,Santa Catarina,SC,95737.954,-48.50816999999996,-27.57789999999994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
160,94,Moinho,CRELUS - Cooperativa de Geração de Energia e Desenvolvimento,Rio Jaboticaba,270.0,1177977600000.0,CGH.PH.RS.028690-7.01,78,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.18819527599993,-27.56224751099999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
161,1621,Passo Fundo,Tractebel Energia S/A,Rio Passo Fundo,226000.0,102297600000.0,UHE.PH.RS.002001-0.01,65507,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-52.74140696499991,-27.55318839199997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
162,1714,Garcia,Celesc Geração S.A.,Rio Garcia,8920.0,-2209161600000.0,UHE.PH.SC.001019-7.01,2586,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.00626343099994,-27.54863068499998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
163,180,Ivo Silveira,Celesc Geração S.A.,Rio Santa Cruz,2600.0,-69984000000.0,CGH.PH.SC.001202-5.02,754,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-51.44024806499996,-27.54112707199997,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
164,65,Barra Clara,BC Service Energética S.A.,Rio Engano,1600.0,1267142400000.0,CGH.PH.SC.029764-0.02,464,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.10332843199996,-27.52949738099998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
165,1718,Machadinho,Companhia Brasileira de Alumínio,Rio Uruguai,1140000.0,1013817600000.0,UHE.PH.SC.001356-0.01,0,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-51.78968313499992,-27.52706416199991,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
166,166,Coqueiral,Coqueiral Energética Ltda.,Rio Engano,3187.8,1220918400000.0,CGH.PH.SC.029769-0.02,924,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.07954734499997,-27.52038274099989,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
167,236,Frederico João Cerutti SA,Hidrelétrica Frederico João Cerutti S.A.,Rio Fortaleza,1200.0,1072742400000.0,CGH.PH.RS.029037-8.01,348,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.43115504599993,-27.51329969299994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
168,250,Médio Garcia,Hidrelétrica Médio Garcia SPE Ltda.,Rio Garcia,1000.0,1545955200000.0,CGH.PH.SC.035742-1.01,290,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-49.00001469599992,-27.51138473199995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
169,1729,São Roque, ,Canoas,141900.0,,UHE.PH.SC.030938-9.01,41130,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-50.8510337449999,-27.51119184899998,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
170,2037,Garcia de Angelina, ,Garcia,2000.0,,CGH.PH.SC.037419-9.01,580,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-48.99744611599994,-27.50657047199996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
171,207,Passo do Cervo,Usinas Hidrelétricas Bringhenti Ltda.,Lajeado Água Branca,750.0,1430524800000.0,CGH.PH.RS.035444-9.01,217,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-52.80109855399992,-27.47638810399996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
172,129,Rio Fortaleza,Cooperativa de Geração de Energia e Desenvolvimento,Arroio Fortaleza,880.0,930787200000.0,CGH.PH.RS.027100-4.01,255,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.45746107400002,-27.47356683199994,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
173,1548,Pery,Celesc Geração S.A.,Rio Canoas,30000.0,1382572800000.0,UHE.PH.SC.002045-1.01,8696,HIDRO,21,SUL,42,Santa Catarina,SC,95737.954,-50.63972378399992,-27.45775289299995,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
174,200,Braga,Cooperativa de Geração de Energia e Desenvolvimento,Rio Braga,520.0,1083628800000.0,CGH.PH.RS.028510-2.01,151,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.277321539,-27.44220081099996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
175,259,Caa-Yari,J.H.M. Geração Elétrica Ltda.,Lajeado Grande,1000.0,1133395200000.0,CGH.PH.RS.029212-5.01,290,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-54.121459751,-27.4289763099999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
176,130,Linha Granja Velha,CRELUZ - Cooperativa de Geração de Energia e Desenvolvimento,Rio Fortaleza,1000.0,980035200000.0,CGH.PH.RS.028572-2.01,290,HIDRO,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.54003406399991,-27.4272457929999,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
177,1144,Solar São Miguel,100% para CRELUZ - COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO (REG), ,561.33,1586822400000.0,UFV.RS.RS.046531-3.01,163,UFV,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.19353611099997,-27.365938888,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
178,1163,Solar São Gabriel,100% para CRELUZ - COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO (REG), ,378.84,1576108800000.0,UFV.RS.RS.046740-5.01,110,UFV,26,SUL,43,Rio Grande do Sul,RS,281737.888,-53.19698599999995,-27.35745599999996,EPE - Projetos_Onshore - Projetos_Onshore1,onshore
